,imdb_tconst,primary_title,imdb_orig_title,start_year,runtime_minutes,genres,imdb_avg_rating,imdb_numvotes,db_genre_ids,db_id_x,original_language,db_orig_title,db_popularity,release_date_x,db_vote_avg,db_vote_count,production_budget,domestic_gross,worldwide_gross
9877,tt1954364,Dark Hearts,Dark Hearts,2014,99.0,"Drama,Thriller",4.6,340.0,"[53, 18]",263564,en,Dark Hearts,0.968,2014-04-29,4.8,4, , , 
9881,tt1954379,Kids of Töday,Des jeunes gens mödernes,2011,97.0,"Drama,Fantasy,Musical",5.0,25.0,[99],105779,fr,Des jeunes gens mödernes,0.84,2012-04-13,5.0,1, , , 
9882,tt1954381,Dhada,Dhada,2011,147.0,"Action,Comedy",3.8,451.0,"[80, 18]",79819,te,దడ,0.84,2011-08-11,1.0,1, , , 
9883,tt1954498,He's Mine Not Yours,He's Mine Not Yours,2011,104.0,"Comedy,Romance",5.1,353.0,"[35, 10749]",80618,en,He's Mine Not Yours,1.274,2011-12-06,7.8,4, , , 
9884,tt1954688,New Order,New Order,2012,90.0,"Fantasy,Sci-Fi,Thriller",3.8,349.0,[],173718,en,New Order,0.6,2012-02-22,2.5,4, , , 
9885,tt1954701,A Coffee in Berlin,Oh Boy,2012,86.0,"Comedy,Drama",7.4,13713.0,"[18, 35]",130739,en,Oh Boy,5.318,2013-11-15,7.2,178, , , 
9886,tt1954780,Rise of the Animals,Rise of the Animals,2011,70.0,"Adventure,Comedy,Horror",3.7,598.0,"[35, 27, 12]",108147,en,Rise of the Animals,1.754,2012-05-01,2.9,7, , , 
9887,tt1954798,The Ghost of Saint Aubin,The Ghost of Saint Aubin,2011,80.0,"Crime,Drama,Sci-Fi",3.8,31.0,[878],274343,en,The Ghost of Saint Aubin,0.84,2011-09-01,1.0,1, , , 
9888,tt1954811,See Girl Run,See Girl Run,2012,89.0,"Drama,Romance",5.2,1249.0,[10749],97732,en,See Girl Run,1.5430000000000001,2013-04-26,4.6,17, , , 
9889,tt1954843,Space Milkshake,Space Milkshake,2012,85.0,"Comedy,Sci-Fi",6.5,1584.0,"[878, 35]",167948,en,Space Milkshake,2.219,2013-02-15,6.1,18, , , 
9890,tt1954854,Stray,Stray,2015,107.0,Drama,5.7,61.0,[18],298243,en,Stray,0.6,2015-01-26,0.0,2, , , 
9893,tt1954886,The Basement,The Basement,2011,83.0,"Horror,Mystery,Thriller",4.1,100.0,[],268947,en,The Basement,0.904,2010-01-01,1.5,2, , , 
9914,tt1954977,The Sad Cafe,The Sad Cafe,2011,98.0,"Action,Romance",6.3,39.0,[],322241,en,The Sad Cafe,0.6,2011-01-01,5.0,1, , , 
9915,tt1956407,9 Days,9 Days,2013,83.0,"Comedy,Horror,Romance",3.6,175.0,"[53, 27]",200745,en,9 Days,1.02,2013-05-28,3.8,4, , , 
